decision_id,decision_type,raw_attribute_a,raw_attribute_b,canonical_node,payment_type_a,payment_type_b,semantic_family_a,semantic_family_b,role_a,role_b,evidence,normal_form_checks,hard_vetoes,decision_reason,lineage_action,decision_scope,evaluation_scope,track
dec::production::Plaid::transaction_identifier::UPI::transaction_identifier,REJECT,Plaid.transaction_id,UPI.txn_id,transaction_identifier,Plaid,UPI,identifier:transaction,identifier:upi_transaction,transaction_identifier,upi_transaction_identifier,"{""embedding_similarity"": 0.810676774743939, ""explicit_alias"": true, ""name_similarity"": 1.0, ""same_canonical"": true, ""same_family"": false, ""signals"": [""same_canonical_hint"", ""schema_declared_alias"", ""name_similarity"", ""embedding_similarity""]}","{""AANF"": {""reason"": ""same_canonical_hint, schema_declared_alias, name_similarity, embedding_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""rail mismatch open_banking vs upi"", ""status"": ""FAIL""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=4 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",identifier subtypes must remain separate: identifier:transaction vs identifier:upi_transaction,identifier subtypes must remain separate: identifier:transaction vs identifier:upi_transaction,REJECT_UNSAFE_MERGE,rejected,excluded_from_eval,production
dec::production::Plaid::transaction_amount::Razorpay::amount,ACCEPT_MERGE,Plaid.transaction_amount,Razorpay.amount,payment_amount,Plaid,Razorpay,payment:amount,payment:amount,transaction_amount,payment_amount_minor_units,"{""embedding_similarity"": 0.8378406312917689, ""explicit_alias"": true, ""name_similarity"": 0.5, ""same_canonical"": true, ""same_family"": true, ""signals"": [""same_canonical_hint"", ""same_semantic_family"", ""schema_declared_alias"", ""name_similarity"", ""embedding_similarity""]}","{""AANF"": {""reason"": ""same_canonical_hint, same_semantic_family, schema_declared_alias, name_similarity, embedding_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=5 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,schema canonical_hint and semantic_family agree,MERGE_INTO_CANONICAL_NODE,production_merge,main_production_eval,production
dec::production::Plaid::transaction_amount::Stripe::amount,ACCEPT_MERGE,Plaid.transaction_amount,Stripe.amount,payment_amount,Plaid,Stripe,payment:amount,payment:amount,transaction_amount,payment_amount_minor_units,"{""embedding_similarity"": 0.8378406312917689, ""explicit_alias"": true, ""name_similarity"": 0.5, ""same_canonical"": true, ""same_family"": true, ""signals"": [""same_canonical_hint"", ""same_semantic_family"", ""schema_declared_alias"", ""name_similarity"", ""embedding_similarity""]}","{""AANF"": {""reason"": ""same_canonical_hint, same_semantic_family, schema_declared_alias, name_similarity, embedding_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=5 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,schema canonical_hint and semantic_family agree,MERGE_INTO_CANONICAL_NODE,production_merge,main_production_eval,production
dec::production::Plaid::transaction_amount::UPI::transaction_amount,ACCEPT_MERGE,Plaid.transaction_amount,UPI.txn_amount,payment_amount,Plaid,UPI,payment:amount,payment:amount,transaction_amount,transaction_amount,"{""embedding_similarity"": 0.8259546817656448, ""explicit_alias"": true, ""name_similarity"": 1.0, ""same_canonical"": true, ""same_family"": true, ""signals"": [""same_canonical_hint"", ""same_semantic_family"", ""schema_declared_alias"", ""name_similarity"", ""embedding_similarity""]}","{""AANF"": {""reason"": ""same_canonical_hint, same_semantic_family, schema_declared_alias, name_similarity, embedding_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=5 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,schema canonical_hint and semantic_family agree,MERGE_INTO_CANONICAL_NODE,production_merge,main_production_eval,production
dec::production::Razorpay::razorpay_payment_identifier::Razorpay::razorpay_order_identifier,REJECT,Razorpay.razorpay_payment_id,Razorpay.razorpay_order_id,payment_identifier|order_identifier,Razorpay,Razorpay,identifier:razorpay_payment,identifier:order,payment_object_identifier,order_identifier,"{""embedding_similarity"": 0.6762531834369516, ""explicit_alias"": false, ""name_similarity"": 0.5, ""same_canonical"": false, ""same_family"": false, ""signals"": [""name_similarity"", ""embedding_similarity""]}","{""AANF"": {""reason"": ""name_similarity, embedding_similarity"", ""status"": ""FAIL""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=2 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",identifier subtypes must remain separate: identifier:razorpay_payment vs identifier:order; schema-declared do_not_merge_with_families veto,identifier subtypes must remain separate: identifier:razorpay_payment vs identifier:order; schema-declared do_not_merge_with_families veto,REJECT_UNSAFE_MERGE,rejected,excluded_from_eval,production
dec::production::Razorpay::razorpay_payment_identifier::Stripe::payment_intent_identifier,REJECT,Razorpay.razorpay_payment_id,Stripe.payment_intent_id,payment_identifier|payment_intent_identifier,Razorpay,Stripe,identifier:razorpay_payment,identifier:payment_intent,payment_object_identifier,payment_intent_object_identifier,"{""embedding_similarity"": 0.5775755396429672, ""explicit_alias"": false, ""name_similarity"": 0.5, ""same_canonical"": false, ""same_family"": false, ""signals"": [""name_similarity""]}","{""AANF"": {""reason"": ""name_similarity"", ""status"": ""FAIL""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=1 required=2"", ""status"": ""DEFER""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",identifier subtypes must remain separate: identifier:razorpay_payment vs identifier:payment_intent,identifier subtypes must remain separate: identifier:razorpay_payment vs identifier:payment_intent,REJECT_UNSAFE_MERGE,rejected,excluded_from_eval,production
dec::production::Razorpay::amount::Stripe::amount,ACCEPT_MERGE,Razorpay.amount,Stripe.amount,payment_amount,Razorpay,Stripe,payment:amount,payment:amount,payment_amount_minor_units,payment_amount_minor_units,"{""embedding_similarity"": 0.999999999999, ""explicit_alias"": false, ""name_similarity"": 1.0, ""same_canonical"": true, ""same_family"": true, ""signals"": [""same_canonical_hint"", ""same_semantic_family"", ""name_similarity"", ""embedding_similarity""]}","{""AANF"": {""reason"": ""same_canonical_hint, same_semantic_family, name_similarity, embedding_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=4 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,schema canonical_hint and semantic_family agree,MERGE_INTO_CANONICAL_NODE,production_merge,main_production_eval,production
dec::production::Razorpay::amount::UPI::transaction_amount,ACCEPT_MERGE,Razorpay.amount,UPI.txn_amount,payment_amount,Razorpay,UPI,payment:amount,payment:amount,payment_amount_minor_units,transaction_amount,"{""embedding_similarity"": 0.7472758963919649, ""explicit_alias"": true, ""name_similarity"": 0.5, ""same_canonical"": true, ""same_family"": true, ""signals"": [""same_canonical_hint"", ""same_semantic_family"", ""schema_declared_alias"", ""name_similarity"", ""embedding_similarity""]}","{""AANF"": {""reason"": ""same_canonical_hint, same_semantic_family, schema_declared_alias, name_similarity, embedding_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=5 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,schema canonical_hint and semantic_family agree,MERGE_INTO_CANONICAL_NODE,production_merge,main_production_eval,production
dec::production::Razorpay::currency::Stripe::currency,ACCEPT_MERGE,Razorpay.currency,Stripe.currency,payment_currency,Razorpay,Stripe,payment:currency,payment:currency,currency_code,currency_code,"{""embedding_similarity"": 0.9999999999990001, ""explicit_alias"": false, ""name_similarity"": 1.0, ""same_canonical"": true, ""same_family"": true, ""signals"": [""same_canonical_hint"", ""same_semantic_family"", ""name_similarity"", ""embedding_similarity""]}","{""AANF"": {""reason"": ""same_canonical_hint, same_semantic_family, name_similarity, embedding_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=4 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,schema canonical_hint and semantic_family agree,MERGE_INTO_CANONICAL_NODE,production_merge,main_production_eval,production
dec::production::Razorpay::currency::UPI::currency,ACCEPT_MERGE,Razorpay.currency,UPI.currency,payment_currency,Razorpay,UPI,payment:currency,payment:currency,currency_code,currency_code,"{""embedding_similarity"": 0.9999999999990001, ""explicit_alias"": false, ""name_similarity"": 1.0, ""same_canonical"": true, ""same_family"": true, ""signals"": [""same_canonical_hint"", ""same_semantic_family"", ""name_similarity"", ""embedding_similarity""]}","{""AANF"": {""reason"": ""same_canonical_hint, same_semantic_family, name_similarity, embedding_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=4 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,schema canonical_hint and semantic_family agree,MERGE_INTO_CANONICAL_NODE,production_merge,main_production_eval,production
dec::production::Razorpay::method::Stripe::payment_method,ACCEPT_MERGE,Razorpay.method,Stripe.payment_method,payment_method,Razorpay,Stripe,payment:method,payment:method,payment_method,payment_method_reference,"{""embedding_similarity"": 0.881650054351921, ""explicit_alias"": true, ""name_similarity"": 0.5, ""same_canonical"": true, ""same_family"": true, ""signals"": [""same_canonical_hint"", ""same_semantic_family"", ""schema_declared_alias"", ""name_similarity"", ""embedding_similarity""]}","{""AANF"": {""reason"": ""same_canonical_hint, same_semantic_family, schema_declared_alias, name_similarity, embedding_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=5 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,schema canonical_hint and semantic_family agree,MERGE_INTO_CANONICAL_NODE,production_merge,main_production_eval,production
dec::production::Razorpay::virtual_payment_address::UPI::virtual_payment_address,ACCEPT_MERGE,Razorpay.vpa,UPI.vpa,virtual_payment_address,Razorpay,UPI,upi:vpa,upi:vpa,payer_or_customer_vpa,generic_vpa,"{""embedding_similarity"": 0.9999999999989999, ""explicit_alias"": true, ""name_similarity"": 1.0, ""same_canonical"": true, ""same_family"": true, ""signals"": [""same_canonical_hint"", ""same_semantic_family"", ""schema_declared_alias"", ""name_similarity"", ""embedding_similarity""]}","{""AANF"": {""reason"": ""same_canonical_hint, same_semantic_family, schema_declared_alias, name_similarity, embedding_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=5 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,schema canonical_hint and semantic_family agree,MERGE_INTO_CANONICAL_NODE,production_merge,main_production_eval,production
dec::production::Razorpay::virtual_payment_address::UPI::payee_virtual_payment_address,REJECT,Razorpay.vpa,UPI.payee_vpa,virtual_payment_address|payee_virtual_payment_address,Razorpay,UPI,upi:vpa,upi:payee_vpa,payer_or_customer_vpa,payee,"{""embedding_similarity"": 0.7299379572712172, ""explicit_alias"": false, ""name_similarity"": 0.75, ""same_canonical"": false, ""same_family"": false, ""signals"": [""name_similarity"", ""embedding_similarity""]}","{""AANF"": {""reason"": ""name_similarity, embedding_similarity"", ""status"": ""FAIL""}, ""CMNF"": {""reason"": ""rail mismatch psp_gateway vs upi"", ""status"": ""FAIL""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=2 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""role conflict: payer vs payee"", ""status"": ""FAIL""}}",role conflict: payer vs payee,role conflict: payer vs payee,REJECT_UNSAFE_MERGE,rejected,excluded_from_eval,production
dec::production::Razorpay::status::Stripe::status,ACCEPT_MERGE,Razorpay.status,Stripe.status,payment_status,Razorpay,Stripe,payment:status,payment:status,payment_lifecycle_status,payment_intent_lifecycle_status,"{""embedding_similarity"": 0.9999999999989997, ""explicit_alias"": false, ""name_similarity"": 1.0, ""same_canonical"": true, ""same_family"": true, ""signals"": [""same_canonical_hint"", ""same_semantic_family"", ""name_similarity"", ""embedding_similarity""]}","{""AANF"": {""reason"": ""same_canonical_hint, same_semantic_family, name_similarity, embedding_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=4 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,schema canonical_hint and semantic_family agree,MERGE_INTO_CANONICAL_NODE,production_merge,main_production_eval,production
dec::production::Razorpay::status::UPI::transaction_status,ACCEPT_MERGE,Razorpay.status,UPI.txn_status,payment_status,Razorpay,UPI,payment:status,payment:status,payment_lifecycle_status,transaction_status,"{""embedding_similarity"": 0.7974614473649851, ""explicit_alias"": true, ""name_similarity"": 0.5, ""same_canonical"": true, ""same_family"": true, ""signals"": [""same_canonical_hint"", ""same_semantic_family"", ""schema_declared_alias"", ""name_similarity"", ""embedding_similarity""]}","{""AANF"": {""reason"": ""same_canonical_hint, same_semantic_family, schema_declared_alias, name_similarity, embedding_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=5 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,schema canonical_hint and semantic_family agree,MERGE_INTO_CANONICAL_NODE,production_merge,main_production_eval,production
dec::production::Razorpay::created_at::Stripe::created,ACCEPT_MERGE,Razorpay.created_at,Stripe.created,created_at,Razorpay,Stripe,temporal:created_at,temporal:created_at,payment_created_timestamp,payment_intent_created_timestamp,"{""embedding_similarity"": 0.9859557099271062, ""explicit_alias"": true, ""name_similarity"": 0.5, ""same_canonical"": true, ""same_family"": true, ""signals"": [""same_canonical_hint"", ""same_semantic_family"", ""schema_declared_alias"", ""name_similarity"", ""embedding_similarity""]}","{""AANF"": {""reason"": ""same_canonical_hint, same_semantic_family, schema_declared_alias, name_similarity, embedding_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=5 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,schema canonical_hint and semantic_family agree,MERGE_INTO_CANONICAL_NODE,production_merge,main_production_eval,production
dec::production::Stripe::amount::UPI::transaction_amount,ACCEPT_MERGE,Stripe.amount,UPI.txn_amount,payment_amount,Stripe,UPI,payment:amount,payment:amount,payment_amount_minor_units,transaction_amount,"{""embedding_similarity"": 0.7472758963919649, ""explicit_alias"": true, ""name_similarity"": 0.5, ""same_canonical"": true, ""same_family"": true, ""signals"": [""same_canonical_hint"", ""same_semantic_family"", ""schema_declared_alias"", ""name_similarity"", ""embedding_similarity""]}","{""AANF"": {""reason"": ""same_canonical_hint, same_semantic_family, schema_declared_alias, name_similarity, embedding_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=5 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,schema canonical_hint and semantic_family agree,MERGE_INTO_CANONICAL_NODE,production_merge,main_production_eval,production
dec::production::Stripe::currency::UPI::currency,ACCEPT_MERGE,Stripe.currency,UPI.currency,payment_currency,Stripe,UPI,payment:currency,payment:currency,currency_code,currency_code,"{""embedding_similarity"": 0.9999999999990001, ""explicit_alias"": false, ""name_similarity"": 1.0, ""same_canonical"": true, ""same_family"": true, ""signals"": [""same_canonical_hint"", ""same_semantic_family"", ""name_similarity"", ""embedding_similarity""]}","{""AANF"": {""reason"": ""same_canonical_hint, same_semantic_family, name_similarity, embedding_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=4 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,schema canonical_hint and semantic_family agree,MERGE_INTO_CANONICAL_NODE,production_merge,main_production_eval,production
dec::production::Stripe::status::UPI::transaction_status,ACCEPT_MERGE,Stripe.status,UPI.txn_status,payment_status,Stripe,UPI,payment:status,payment:status,payment_intent_lifecycle_status,transaction_status,"{""embedding_similarity"": 0.7974614473649851, ""explicit_alias"": true, ""name_similarity"": 0.5, ""same_canonical"": true, ""same_family"": true, ""signals"": [""same_canonical_hint"", ""same_semantic_family"", ""schema_declared_alias"", ""name_similarity"", ""embedding_similarity""]}","{""AANF"": {""reason"": ""same_canonical_hint, same_semantic_family, schema_declared_alias, name_similarity, embedding_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=5 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,schema canonical_hint and semantic_family agree,MERGE_INTO_CANONICAL_NODE,production_merge,main_production_eval,production
dec::production::UPI::virtual_payment_address::UPI::payee_virtual_payment_address,DEFER,UPI.vpa,UPI.payee_vpa,virtual_payment_address|payee_virtual_payment_address,UPI,UPI,upi:vpa,upi:payee_vpa,generic_vpa,payee,"{""embedding_similarity"": 0.7299379572712172, ""explicit_alias"": false, ""name_similarity"": 0.75, ""same_canonical"": false, ""same_family"": false, ""signals"": [""name_similarity"", ""embedding_similarity""]}","{""AANF"": {""reason"": ""name_similarity, embedding_similarity"", ""status"": ""FAIL""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=2 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,safe but insufficient evidence,DEFER_CANDIDATE,deferred,excluded_from_eval,production
dec::discovery::INAmex::primary_account_number::Mastercard::primary_account_number,DISCOVERY_CANDIDATE,INAmex.PrimaryAccountNumber,Mastercard.primary_account_number,card_primary_account_number,INAmex,Mastercard,payment_card:pan,payment_card:pan,card_account_identifier,card_account_identifier,"{""embedding_similarity"": 0.9450346923552186, ""explicit_alias"": true, ""name_similarity"": 1.0, ""same_canonical"": true, ""same_family"": true, ""signals"": [""same_canonical_hint"", ""same_semantic_family"", ""schema_declared_alias"", ""name_similarity"", ""embedding_similarity""]}","{""AANF"": {""reason"": ""same_canonical_hint, same_semantic_family, schema_declared_alias, name_similarity, embedding_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=5 required=1"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,schema-supported discovery candidate,DISCOVERY_ALIAS_CANDIDATE,discovery_candidate,discovery_eval,discovery
dec::discovery::INAmex::primary_account_number::Plaid::account_number,REJECT,INAmex.PrimaryAccountNumber,Plaid.account_number,card_primary_account_number|bank_account_number,INAmex,Plaid,payment_card:pan,payment_account:account_number,card_account_identifier,bank_account_identifier,"{""embedding_similarity"": 0.5176304474569312, ""explicit_alias"": true, ""name_similarity"": 0.6666666666666666, ""same_canonical"": false, ""same_family"": false, ""signals"": [""schema_declared_alias"", ""name_similarity""]}","{""AANF"": {""reason"": ""schema_declared_alias, name_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""rail mismatch card_payment vs open_banking"", ""status"": ""FAIL""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=2 required=1"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""partition mismatch"", ""status"": ""FAIL""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",card PAN must not merge with bank account; schema-declared do_not_merge_with_families veto,card PAN must not merge with bank account; schema-declared do_not_merge_with_families veto,REJECT_UNSAFE_MERGE,rejected,excluded_from_eval,discovery
dec::discovery::INAmex::primary_account_number::PPVisa::primary_account_number,DISCOVERY_CANDIDATE,INAmex.PrimaryAccountNumber,PPVisa.pan,card_primary_account_number,INAmex,PPVisa,payment_card:pan,payment_card:pan,card_account_identifier,card_account_identifier,"{""embedding_similarity"": 0.8185870411302664, ""explicit_alias"": true, ""name_similarity"": 1.0, ""same_canonical"": true, ""same_family"": true, ""signals"": [""same_canonical_hint"", ""same_semantic_family"", ""schema_declared_alias"", ""name_similarity"", ""embedding_similarity""]}","{""AANF"": {""reason"": ""same_canonical_hint, same_semantic_family, schema_declared_alias, name_similarity, embedding_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=5 required=1"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,schema-supported discovery candidate,DISCOVERY_ALIAS_CANDIDATE,discovery_candidate,discovery_eval,discovery
dec::discovery::INAmex::expiration_date::PPVisa::expiration_date,DISCOVERY_CANDIDATE,INAmex.ExpirationDate,PPVisa.exp,card_expiration_date,INAmex,PPVisa,payment_card:expiration_date,payment_card:expiration_date,card_validity,card_validity,"{""embedding_similarity"": 0.9569081501011489, ""explicit_alias"": true, ""name_similarity"": 1.0, ""same_canonical"": true, ""same_family"": true, ""signals"": [""same_canonical_hint"", ""same_semantic_family"", ""schema_declared_alias"", ""name_similarity"", ""embedding_similarity""]}","{""AANF"": {""reason"": ""same_canonical_hint, same_semantic_family, schema_declared_alias, name_similarity, embedding_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=5 required=1"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,schema-supported discovery candidate,DISCOVERY_ALIAS_CANDIDATE,discovery_candidate,discovery_eval,discovery
dec::discovery::INAmex::card_verification_value::PPVisa::verification_value,DISCOVERY_CANDIDATE,INAmex.CardVerificationValue,PPVisa.cvv,card_verification_value,INAmex,PPVisa,payment_card:verification_value,payment_card:verification_value,sensitive_authentication_data,sensitive_authentication_data,"{""embedding_similarity"": 0.8090960446779144, ""explicit_alias"": true, ""name_similarity"": 0.6666666666666666, ""same_canonical"": true, ""same_family"": true, ""signals"": [""same_canonical_hint"", ""same_semantic_family"", ""schema_declared_alias"", ""name_similarity"", ""embedding_similarity""]}","{""AANF"": {""reason"": ""same_canonical_hint, same_semantic_family, schema_declared_alias, name_similarity, embedding_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=5 required=1"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,schema-supported discovery candidate,DISCOVERY_ALIAS_CANDIDATE,discovery_candidate,discovery_eval,discovery
